Date  20001101
Article  0  : ('伦敦外汇市场行情新华社伦敦', 1.0)('10月31日电', 1.0)
Article  1  : ('国', 1.0)('际市场贱金属价格新华社伦敦', 1.0)('10月31日电', 1.0)
Article  99  : ('国', 1.0171104762478942)('的', 1.0000000000000018)('伊拉克', 1.0000000000000009)('两', 1.0000000000000009)
Article  100  : ('0', 1.3425109649852278)('合', 1.1359901288853576)('秧歌', 1.0000000000000009)('健身', 1.0000000000000007)
Article  101  : ('0', 1.1356277651152684)('动', 1.030594502896169)('赛', 1.0000000000000009)('比', 1.0000000000000007)
Article  102  : ('州', 1.2256196470914742)('0', 1.1039808601758336)('5', 1.0000000000000004)('年', 1.0000000000000004)
Article  103  : ('0', 1.9815804013531204)('1', 1.128692356752039)('节', 1.1137202112697657)('在', 1.0000000000000007)
Article  104  : ('毒', 1.0000000000000004)('查', 1.0000000000000002)('获', 1.0000000000000002)('北部', 1.0000000000000002)
Article  105  : ('说', 1.0000000000000004)('巴勒斯坦', 1.0000000000000004)('当天在', 1.0000000000000002)('总统府', 1.0000000000000002)
Article  106  : ('微', 1.24010714175639)('国', 1.0449673537854787)('电', 1.000000000000004)('核', 1.0000000000000029)
Article  107  : ('州', 1.0473440432073624)('的', 1.0000000000000013)('是一个', 1.0000000000000002)('新', 1.0000000000000002)
Article  108  : ('1', 1.2675836102626061)('夺取', 1.0000000000000002)('日', 1.0000000000000002)('第一回合', 1.0000000000000002)
Article  109  : ('0', 1.7851764415118168)('国', 1.0000000000000004)('新赛季', 1.0000000000000002)('目', 1.0000000000000002)
Article  110  : ('卡', 1.1286923567520388)('赛', 1.0761903723891897)('教', 1.0143305785123968)('方', 1.0000000000000004)
Article  111  : ('国', 1.0577530758500038)('首', 1.0000000000000002)('田纪云副委员长', 1.0000000000000002)('新华社拉巴特11月', 1.0000000000000002)
Article  112  : ('古', 1.0442457137344563)('山', 1.0000000000000007)('某部', 1.0000000000000004)('物', 1.0000000000000002)
Article  113  : ('手', 2.329600694444444)('对', 1.4086662920638513)('1', 1.2347611985812994)('如', 1.1754463312716368)
Article  114  : ('0', 1.2142180540212835)('的', 1.0000000000000027)('一', 1.0000000000000004)('地', 1.0000000000000004)
Article  115  : ('4', 1.303228355142537)('发', 1.1747579178912264)('的', 1.0876575370122237)('0', 1.0733234679188204)
Article  116  : ('大', 1.124310983283245)('3', 1.0000000000000002)('根', 1.0000000000000002)('7', 1.0000000000000002)
Article  117  : ('1', 1.1820000000000006)('国', 1.0000000000000002)('成', 1.0000000000000002)('功', 1.0000000000000002)
Article  118  : ('的', 1.0000000000000018)('发', 1.0000000000000007)('伽马', 1.0000000000000004)('爆', 1.0000000000000004)
Article  119  : ('文', 1.2439069523071227)('专利', 1.0000000000000007)('者', 1.0000000000000004)('美', 1.0000000000000002)
Article  120  : ('的', 1.0000000000000007)('与', 1.0000000000000004)('疯牛病', 1.0000000000000004)('感染', 1.0000000000000004)
Article  121  : ('徐', 1.155457185055888)('现', 1.0000000000000004)('是', 1.0000000000000004)('1', 1.0000000000000004)
Article  122  : ('区', 1.0000000000000009)('培训班', 1.0000000000000002)('村', 1.0000000000000002)('及', 1.0000000000000002)
Article  123  : ('特殊', 1.253669214814815)('平台', 1.1902466287459388)('发', 1.0256746579126252)('开', 1.000000000000001)
Article  124  : ('名', 1.205378900919469)('企业', 1.0000000000000007)('治污', 1.0000000000000007)('排放', 1.0000000000000004)
Article  125  : ('0', 1.2142180540212837)('化', 1.1930140841731853)('湖', 1.1749031125847416)('湿地保护', 1.0000000000000004)
Article  126  : ('新华社郑州11月', 1.0000000000000002)('日', 1.0000000000000002)('电', 1.0000000000000002)('作为', 1.0000000000000002)
Article  127  : ('网', 1.0000000000000009)('等', 1.0000000000000004)('在全国率先', 1.0000000000000002)('海南省', 1.0000000000000002)
Article  128  : ('次', 1.1095983810799286)('一', 1.0798494300805646)('的', 1.0509560420800437)('知', 1.0000000000000004)
Article  129  : ('所', 1.0750317824192333)('教育', 1.0419793668691595)('深圳', 1.0000000000000009)('莲花县', 1.0000000000000004)
Article  130  : ('1', 1.1577974370694522)('失业率', 1.0000000000000007)('欧盟', 1.0000000000000002)('新华社布鲁塞尔11月', 1.0000000000000002)
Article  131  : ('拉美', 1.0000000000000004)('7', 1.0000000000000002)('日', 1.0000000000000002)('电', 1.0000000000000002)
Article  132  : ('一', 1.3038209629089736)('解', 1.0000000000000004)('支持', 1.0000000000000002)('致', 1.0000000000000002)
Article  133  : ('9', 1.9815804013531202)('成', 1.0000000000000004)('和', 1.0000000000000004)('立', 1.0000000000000002)
Article  134  : ('选择', 1.3548007383806202)('和', 1.0000000000000007)('场', 1.0000000000000002)('新华社突尼斯11月', 1.0000000000000002)
Article  135  : ('时', 1.1782924445658076)('努', 1.0000000000000007)('妥协', 1.0000000000000004)('位于', 1.0000000000000004)
Article  136  : ('英', 1.0000000000000002)('队', 1.0000000000000002)('5万多', 1.0000000000000002)('政府提出', 1.0000000000000002)
Article  137  : ('伊', 1.9217078189300403)('在', 1.0000000000000007)('戈尔', 1.0000000000000002)('国', 1.0000000000000002)
Article  138  : ('发', 1.0315444639134457)('电', 1.0166354305635663)('利', 1.0000000000000004)('一座', 1.0000000000000002)
Article  139  : ('人', 1.0000000000000009)('1', 1.0000000000000007)('加', 1.0000000000000002)('中', 1.0000000000000002)
Article  140  : ('自', 1.5277520576131685)('市', 1.268521146127912)('大', 1.1286923567520388)('呼和浩特市', 1.0000000000000004)
Article  141  : ('年', 1.2652581195881447)('0', 1.1039808601758334)('他', 1.0000000000000004)('执', 1.0000000000000002)
Article  142  : ('8', 1.1968906424648877)('上', 1.109733816574389)('产', 1.0000000000000007)('以', 1.0000000000000004)
Article  143  : ('和', 1.0000000000000002)('以色列和巴勒斯坦', 1.0000000000000002)('起', 1.0000000000000002)('持续了', 1.0000000000000002)
Article  144  : ('大', 1.2256196470914742)('2', 1.0674686060221676)('的', 1.0000000000000018)('严峻挑战', 1.0000000000000002)
Article  145  : ('的', 1.0493041496383126)('国', 1.0000000000000004)('几个', 1.0000000000000004)('获得的', 1.0000000000000004)
Article  146  : ('疗法', 1.042092671604939)('激光', 1.0000000000000009)('损伤', 1.0000000000000007)('结', 1.0000000000000004)
Article  147  : ('尔', 1.0000000000000002)('当', 1.0000000000000002)('体育', 1.0000000000000002)('冠军', 1.0000000000000002)
Article  148  : ('欧洲', 1.0000000000000002)('乒乓球', 1.0000000000000002)('男队', 1.0000000000000002)('战胜', 1.0000000000000002)
Article  149  : ('呼', 1.2142180540212837)('球', 1.0000000000000009)('纽约', 1.0000000000000004)('下', 1.0000000000000004)
Article  150  : ('7', 1.0000000000000002)('伦敦外汇市场行情新华社伦敦11月', 1.0)('日', 1.0)('电', 1.0)
Article  151  : ('7', 1.0000000000000002)('国际市场贱金属价格新华社伦敦11月', 1.0)('日', 1.0)('电', 1.0)
Article  152  : ('1', 1.4717969786017333)('公司', 1.282349738725564)('比', 1.2203444143171642)('小', 1.0000000000000004)
Article  153  : ('7', 1.2589484936831863)('升', 1.0000000000000007)('美国大选', 1.0000000000000002)('而', 1.0000000000000002)
Article  154  : ('人', 1.2759371626618154)('国', 1.1272851341702854)('和', 1.0000000000000004)('7', 1.0000000000000002)
Article  155  : ('沙', 1.0000000000000013)('特', 1.0000000000000007)('新', 1.0000000000000002)('华', 1.0000000000000002)
Article  156  : ('特', 1.0000000000000004)('会', 1.0000000000000002)('新', 1.0000000000000002)('了', 1.0000000000000002)
Article  157  : ('和', 1.0000000000000004)('家', 1.0000000000000004)('公', 1.0000000000000002)('州', 1.0000000000000002)
Article  158  : ('一', 1.0981149884662869)('3', 1.0698664627976022)('加', 1.0000000000000004)('队和', 1.0000000000000004)
Article  159  : ('德国足协', 1.0000000000000007)('日', 1.0000000000000004)('尔', 1.0000000000000004)('鲁迪', 1.0000000000000002)
Article  160  : ('动', 1.3278325345616915)('0', 1.2135523315570103)('中', 1.0000000000000004)('田径', 1.0000000000000004)
Article  161  : ('8', 1.0000000000000002)('人民币市场汇价新华社北京11月', 1.0)('日', 1.0)('电', 1.0)
Article  162  : ('发', 1.1110846917909627)('的', 1.0182612261517026)('新', 1.0000000000000033)('新闻单位', 1.0000000000000013)
Article  163  : ('面', 1.251329747858965)('首', 1.2183948516845702)('港', 1.1776103047530406)('可', 1.1411297376093301)
Article  164  : ('0', 1.6587601434580403)('多', 1.2158903810582922)('新', 1.0000000000000004)('的', 1.0000000000000004)
Article  165  : ('1', 1.5134288233955397)('0', 1.3055204182355296)('2', 1.1650365492640122)('不', 1.1339854610799216)
Article  166  : ('娃', 1.2816923534192646)('炎', 1.266126677659818)('9', 1.2420681344122593)('坐', 1.168642537609329)
Article  167  : ('摸', 1.3095107410190057)('摇', 1.3035159139475627)('循', 1.1633772971212353)('科', 1.0859401099775694)
Article  168  : ('和', 1.000000000000001)('汇总', 1.0000000000000009)('行', 1.0000000000000004)('方式', 1.0000000000000004)
Article  169  : ('1', 1.0390988213518002)('8', 1.0000000000000004)('典型', 1.0000000000000004)('示范', 1.0000000000000004)
Article  170  : ('降', 1.090600819299044)('保', 1.0000000000000009)('产', 1.0000000000000007)('经', 1.0000000000000004)
Article  171  : ('9', 1.361436602104598)('机', 1.086460907772086)('政府', 1.0000000000000004)('企业', 1.0000000000000004)
Article  172  : ('日', 1.0000000000000004)('有', 1.0000000000000004)('报', 1.0000000000000002)('各', 1.0000000000000002)
Article  173  : ('9', 1.5712051126253563)('一天', 1.2667327417890748)('挨', 1.2349346356123216)('擦', 1.1899124818256404)
Article  174  : ('赢得', 1.0000000000000004)('新华社华盛顿11月', 1.0)('8', 1.0)('日电据', 1.0)
Article  175  : ('血', 1.1673130067485038)('重', 1.0000000000000009)('症', 1.0000000000000009)('积', 1.0000000000000007)
Article  176  : ('9', 1.407024448105353)('0', 1.2399776197423527)('产', 1.213615733992009)('一', 1.205330814598637)
Article  177  : ('重', 1.3035159139475625)('致', 1.2790907118055552)('1', 1.1746166097056694)('王', 1.1054320709853978)
Article  178  : ('高', 1.2612490487738968)('的', 1.1070022032164646)('各', 1.0000000000000004)('7', 1.0000000000000002)
Article  179  : ('审', 1.0000000000000009)('业', 1.0000000000000007)('试行', 1.0000000000000004)('产', 1.0000000000000004)
Article  180  : ('偏', 1.2499680675841327)('优势', 1.1137105168419734)('市', 1.0000000000000018)('广', 1.0000000000000004)
Article  181  : ('1', 1.1903607916578107)('理', 1.1039808601758334)('了', 1.0411225912497728)('号', 1.0000000000000013)
Article  182  : ('9', 1.382031136783655)('2', 1.0537333311763797)('果', 1.047650727861205)('抓', 1.0409481982091648)
Article  183  : ('出', 1.0000000000000007)('对', 1.0000000000000004)('所', 1.0000000000000004)('台', 1.0000000000000002)
Article  184  : ('优势', 1.1156470651876813)('中', 1.0762049801584415)('在', 1.0000000000000004)('服务', 1.0000000000000002)
Article  185  : ('0', 1.7851764415118159)('小', 1.4364357394727134)('软件', 1.0541942042110257)('大', 1.0000000000000009)
Article  186  : ('大', 1.2238248506490643)('兢', 1.222997950389637)('业', 1.1557498081701862)('点', 1.1077395196230597)
Article  187  : ('8', 1.1470295768583043)('船', 1.1092222187463434)('汽车', 1.1032938034646007)('查', 1.0000000000000002)
Article  188  : ('吃', 1.2634848189467598)('喝', 1.2634848189467598)('斤', 1.258833710653803)('不', 1.1596164002710458)
Article  189  : ('8', 1.2717921494449749)('向', 1.1503264607304016)('绕', 1.1451306959685166)('市', 1.0712275710197796)
Date  20001109
Article  0  : ('平', 1.2894645661068402)('八', 1.1039808601758334)('支德国球队', 1.0000000000000004)('未能', 1.0000000000000002)
Article  1  : ('奥', 1.0000000000000002)('的', 1.0000000000000002)('8', 1.0000000000000002)('将成为', 1.0000000000000002)
Article  2  : ('堡', 1.0000000000000007)('平', 1.0000000000000004)('杯足球赛', 1.0000000000000002)('挪威', 1.0000000000000002)
Article  3  : ('英', 1.3527822157434408)('0', 1.2978275499549672)('桥', 1.2047009953368808)('国', 1.1253478980008367)
Article  4  : ('代表', 1.0000000000000004)('宣布', 1.0000000000000002)('张', 1.0000000000000002)('官方', 1.0000000000000002)
Article  5  : ('发', 1.0000000000000004)('以军方', 1.0000000000000002)('以色列', 1.0000000000000002)('周', 1.0000000000000002)
Article  6  : ('1', 1.2747878600823042)('5', 1.0000000000000007)('加拿大', 1.0000000000000004)('五', 1.0000000000000002)
Article  7  : ('0', 1.677262538927681)('长', 1.0000000000000004)('人', 1.0000000000000004)('以', 1.0000000000000004)
Article  8  : ('徐', 1.214218054021284)('行', 1.1204641652982819)('会', 1.0361827188589792)('体育用品', 1.0000000000000004)
Article  9  : ('防', 1.6667772270010213)('西', 1.3389973069336982)('盒', 1.320533720033177)('一', 1.3189282097561992)
Article  10  : ('和', 1.2759371626618154)('新', 1.0000000000000004)('总统呼吁', 1.0000000000000002)('民族和解', 1.0000000000000002)
Article  11  : ('人是', 1.0000000000000002)('信息', 1.0000000000000002)('已超过', 1.0000000000000002)('已占', 1.0000000000000002)
Article  12  : ('克', 1.2439069523071227)('约', 1.1144010092356464)('他', 1.0000000000000004)('予', 1.0000000000000002)
Article  13  : ('京', 1.0000000000000002)('谈', 1.0000000000000002)('俄', 1.0000000000000002)('大', 1.0000000000000002)
Article  14  : ('代', 1.1594662622676886)('行', 1.041668949460717)('分行', 1.0225928105534439)('中', 1.0137332190476316)
Article  15  : ('市', 1.1372247116801295)('会', 1.0000000000000002)('瓦努阿图总理', 1.0000000000000002)('新华社上海11月9日电', 1.0000000000000002)
Article  16  : ('天', 1.1133363677742365)('国', 1.0693896550544133)('中', 1.05952612920099)('公众开放', 1.0000000000000004)
Article  17  : ('站', 1.2439069523071227)('还林还草', 1.107854736413735)('户', 1.0707630573388198)('印', 1.0000000000000004)
Article  18  : ('是', 1.0000000000000004)('程', 1.0000000000000004)('主张', 1.0000000000000002)('发', 1.0000000000000002)
Article  19  : ('尔', 1.1226023788140802)('以', 1.0000000000000004)('尼', 1.0000000000000004)('2', 1.0000000000000004)
Article  20  : ('0', 2.2487527090935058)('联', 1.0000000000000004)('9', 1.0000000000000004)('此', 1.0000000000000004)
Article  21  : ('0', 1.9112116808170165)('9', 1.0000000000000004)('联', 1.0000000000000002)('年', 1.0000000000000002)
Article  22  : ('0', 1.6235177104429044)('1', 1.4555345165688784)('联', 1.0000000000000002)('赛', 1.0000000000000002)
Article  23  : ('勒沃库森俱乐部', 1.0000000000000004)('教练', 1.0000000000000004)('勒沃库森队', 1.0000000000000004)('与', 1.0000000000000002)
Article  24  : ('国', 1.0122832532235946)('约', 1.0000000000000004)('已', 1.0000000000000004)('和', 1.0000000000000002)
Article  25  : ('江泽民对', 1.0000000000000007)('耶罗', 1.0000000000000004)('进', 1.0000000000000004)('总', 1.0000000000000002)
Article  26  : ('人', 1.29580452619666)('了', 1.1929958322354344)('委', 1.126130186343044)('中', 1.0000000000000004)
Article  27  : ('0', 1.1286923567520388)('会', 1.0000000000000009)('此次', 1.0000000000000004)('了', 1.0000000000000002)
Article  28  : ('总', 1.0000000000000004)('平', 1.0000000000000004)('保险', 1.0000000000000004)('众', 1.0000000000000002)
Article  29  : ('1', 1.1858615994664434)('天', 1.1382808126822157)('的', 1.0000000000000009)('项目', 1.0000000000000004)
Article  30  : ('4', 1.1657310384108992)('2', 1.0573889994839565)('口', 1.056758506629001)('出', 1.000000000000002)
Article  31  : ('1', 1.3010416666666664)('出', 1.0000000000000002)('准备', 1.0000000000000002)('就绪', 1.0000000000000002)
Article  32  : ('以', 1.0000000000000004)('8', 1.0000000000000004)('火箭', 1.0000000000000002)('袭击', 1.0000000000000002)
Article  33  : ('澳', 1.3020350904642697)('0', 1.2142180540212835)('的', 1.0000000000000027)('向', 1.0000000000000004)
Article  34  : ('1', 1.1286923567520393)('澳', 1.0342018462472837)('治', 1.0000000000000009)('特区政府', 1.0000000000000009)
Article  35  : ('委', 1.1286923567520388)('会', 1.0000000000000004)('全', 1.0000000000000002)('朱', 1.0000000000000002)
Article  36  : ('化', 1.3038209629089728)('河内', 1.1945464335868612)('行', 1.0000000000000004)('3次', 1.0000000000000002)
Article  37  : ('民', 1.2513297478589644)('国', 1.0000000000000007)('的', 1.0000000000000004)('如何', 1.0000000000000004)
Article  38  : ('部', 1.2356740316641155)('1', 1.1039808601758332)('国', 1.0826638081643671)('提', 1.0000000000000002)
Article  39  : ('的', 1.0716664535225973)('对', 1.0000000000000004)('是', 1.0000000000000004)('的斗争', 1.0000000000000002)
Article  40  : ('1', 1.2489655450757833)('狮', 1.1586642651435617)('年', 1.0000000000000007)('水', 1.0000000000000004)
Article  41  : ('1', 1.1759500353040166)('队', 1.0000000000000007)('成', 1.0000000000000002)('2002年世界杯', 1.0000000000000002)
Article  42  : ('0', 1.9815804013531202)('平', 1.2816923534192655)('彬', 1.2816923534192655)('1', 1.214218054021284)
Article  43  : ('升', 1.1701800535883538)('值', 1.1422814408372706)('风险', 1.128692356752039)('级', 1.078569462477142)
Article  44  : ('著作权', 1.08655321819148)('有', 1.0000000000000007)('计算机', 1.0000000000000004)('加强对', 1.0000000000000002)
Article  45  : ('产量', 1.338997306933698)('病', 1.1503264607304011)('畜', 1.1456159436185638)('珀', 1.0000000000000004)
Article  46  : ('谢', 1.3010416666666664)('多少', 1.2634848189467596)('随', 1.1071705874752993)('长', 1.062854097937503)
Article  47  : ('框', 1.0857569369551114)('出', 1.029795059727067)('的', 1.0000000000000033)('年', 1.0000000000000009)
Article  48  : ('9', 1.6933462179822028)('长', 1.0000000000000002)('安', 1.0000000000000002)('的', 1.0000000000000002)
Article  49  : ('人', 1.282349738725564)('赴', 1.0000000000000002)('盟', 1.0000000000000002)('及', 1.0000000000000002)
Article  50  : ('会', 1.0000000000000007)('首先', 1.0000000000000002)('接待', 1.0000000000000002)('成', 1.0000000000000002)
Article  51  : ('今日新华股价指数新华社北京11月', 1.0)('9日电', 1.0)
Article  52  : ('机', 1.0903065642449146)('员', 1.0000000000000004)('到', 1.0000000000000004)('离', 1.0000000000000002)
Article  53  : ('0', 1.3686296464423844)('4', 1.1275989406748417)('9', 1.1260056046292741)('代', 1.1196022877402136)
Article  54  : ('1', 1.0079163623082548)('磊', 1.0000000000000004)('全', 1.0000000000000002)('新华社南宁11月', 1.0000000000000002)
Article  55  : ('1', 1.0000000000000004)('子举重冠军', 1.0000000000000002)('将', 1.0000000000000002)('新华社南宁11月', 1.0000000000000002)
Article  56  : ('霍利菲尔德', 1.0000000000000009)('能', 1.0000000000000007)('的', 1.0000000000000007)('中', 1.0000000000000007)
Article  57  : ('5', 3.745337182283402)('8', 1.4929185914266747)('1', 1.318518518518519)('2', 1.0928183970344545)
Article  58  : ('等', 1.0000000000000007)('广', 1.0000000000000004)('品', 1.0000000000000004)('不', 1.0000000000000004)
Article  59  : ('自我', 1.107121399080259)('部', 1.0000000000000007)('力', 1.0000000000000004)('中', 1.0000000000000004)
Article  60  : ('的', 1.0000000000000013)('新华社西宁11月', 1.0000000000000002)('所在的', 1.0000000000000002)('西', 1.0000000000000002)
Article  61  : ('出', 1.0000000000000004)('台', 1.0000000000000002)('发', 1.0000000000000002)('新', 1.0000000000000002)
Article  62  : ('凡', 1.3493593331404783)('鱼', 1.0000000000000004)('新', 1.0000000000000002)('屏', 1.0000000000000002)
Article  63  : ('0', 1.2513297478589644)('年', 1.2287450915761233)('山', 1.0734408736264536)('一', 1.0477935339562408)
Article  64  : ('建设', 1.0830242162584787)('双', 1.0533365811333637)('地', 1.0413596367727243)('和', 1.0000000000000018)
Article  65  : ('0', 1.4728983533334914)('法', 1.0670840884829105)('机构', 1.035786079136901)('关', 1.0000000000000004)
Article  66  : ('在', 1.197128902588881)('发', 1.0000000000000007)('我国', 1.0000000000000004)('外', 1.0000000000000002)
Article  67  : ('1', 1.2086755887952167)('4', 1.0716876930097472)('企业', 1.0000000000000004)('工业生产', 1.0000000000000002)
Article  68  : ('援助', 1.0000000000000004)('大', 1.0000000000000004)('提供', 1.0000000000000004)('有', 1.0000000000000002)
Article  69  : ('0', 1.2091439630600611)('年', 1.1653394412821423)('小', 1.0895875466408695)('新', 1.0000000000000002)
Article  70  : ('业', 1.0397258653747536)('家', 1.0000000000000004)('营', 1.0000000000000004)('中国人民银行', 1.0000000000000004)
Article  71  : ('0', 1.2736311787118646)('邮票', 1.0000000000000024)('1', 1.0000000000000007)('印', 1.0000000000000004)
Article  72  : ('成', 1.0000000000000004)('民', 1.0000000000000002)('与', 1.0000000000000002)('法制', 1.0000000000000002)
Article  73  : ('好', 1.3132313841047267)('进', 1.1162827251059646)('干旱', 1.039599453800637)('建设', 1.0000000000000004)
Article  74  : ('电', 1.0022167090243008)('验', 1.0000000000000036)('建', 1.0000000000000009)('2', 1.0000000000000004)
Article  75  : ('报名', 1.1958938552571687)('比', 1.0828989336761885)('将', 1.0000000000000002)('参加', 1.0000000000000002)
Article  76  : ('越', 1.2017549653790085)('台', 1.071225023496262)('时', 1.0000000000000004)('积', 1.0000000000000004)
Article  77  : ('的', 1.041173564268796)('党', 1.0319543286440673)('中', 1.0000000000000007)('城', 1.0000000000000004)
Article  78  : ('届', 1.0000000000000002)('菊花', 1.0000000000000002)('新华社杭州11月', 1.0000000000000002)('9日电', 1.0000000000000002)
Article  79  : ('安', 1.0000000000000016)('公司与', 1.0000000000000002)('际', 1.0000000000000002)('业', 1.0000000000000002)
Article  80  : ('1', 1.1613610833520875)('工', 1.0476430068605347)('会', 1.007845655260647)('帮', 1.0000000000000029)
Article  81  : ('学', 1.000000000000002)('留', 1.0000000000000009)('吉列', 1.0000000000000007)('国', 1.0000000000000004)
Article  82  : ('关', 1.0635888203017827)('开', 1.0000000000000004)('西门子', 1.0000000000000002)('公司', 1.0000000000000002)
Article  83  : ('1', 1.4856156299243042)('今', 1.0000000000000004)('的', 1.0000000000000004)('消防安全', 1.0000000000000002)
Article  84  : ('南', 1.2607165866427954)('利', 1.2017549653790085)('挨', 1.1318470132988774)('社', 1.1086911455072561)
Article  85  : ('宁波港', 1.0000000000000002)('局', 1.0000000000000002)('获悉', 1.0000000000000002)('年', 1.0000000000000002)
Article  86  : ('9', 2.2487527090935058)('中', 1.0385733065176206)('区', 1.0000000000000004)('进', 1.0000000000000004)
Article  87  : ('气', 1.0000000000000009)('环', 1.0000000000000007)('水', 1.0000000000000004)('期', 1.0000000000000004)
Article  88  : ('0', 1.13722471168013)('的', 1.0615777907379733)('宝', 1.0000000000000004)('文', 1.0000000000000004)
Article  89  : ('病', 1.2023434979556973)('庆', 1.0000000000000002)('人', 1.0000000000000002)('民', 1.0000000000000002)
Article  90  : ('落', 1.349359333140478)('半', 1.1667263343562864)('……', 1.0000000000000004)('这座', 1.0000000000000002)
Article  91  : ('记者', 1.0583902916592896)('站', 1.0280766219530564)('对', 1.0000000000000004)('记', 1.0000000000000004)
Article  92  : ('台', 1.1027546600171465)('和', 1.0000000000000004)('播', 1.0000000000000002)('各', 1.0000000000000002)
Article  93  : ('维', 1.1633772971212353)('国', 1.109609000726865)('团', 1.0000000000000007)('和中国', 1.0000000000000004)
Article  94  : ('业', 1.0000000000000002)('经过', 1.0000000000000002)('林', 1.0000000000000002)('系', 1.0000000000000002)
Article  95  : ('学', 1.1213159833358741)('项目', 1.0000000000000009)('的', 1.0000000000000009)('江苏', 1.0000000000000007)
Article  96  : ('希望', 1.0000000000000004)('对', 1.0000000000000004)('8', 1.0000000000000002)('将会', 1.0000000000000002)
Article  97  : ('大', 1.1305007495016701)('0', 1.0414860285525578)('的', 1.0000000000000009)('沉', 1.0000000000000004)
Article  98  : ('州', 1.1847521620391437)('0', 1.1075415284662486)('2', 1.0000000000000004)('时', 1.0000000000000002)
Article  99  : ('9', 2.204166666666666)('说', 1.4592902162117043)('2', 1.1804651586648403)('0', 1.1253020376993368)
Article  100  : ('年', 1.1783043316035968)('岛内', 1.0000000000000002)('重', 1.0000000000000002)('投资项目', 1.0000000000000002)
Article  101  : ('1', 1.1091117573021265)('民众', 1.0000000000000002)('加', 1.0000000000000002)('政策', 1.0000000000000002)
Article  102  : ('全', 1.4187031073085412)('两', 1.1019739087645006)('国', 1.0705777908228937)('澳', 1.0000000000000004)
Article  103  : ('9', 1.3903585737613464)('支持', 1.0000000000000004)('女童', 1.0000000000000004)('武警部队', 1.0000000000000002)
Article  104  : ('自然保护区', 1.0000000000000007)('成', 1.0000000000000004)('2', 1.0000000000000004)('呼伦贝尔盟', 1.0000000000000002)
Article  105  : ('1', 1.165299131362806)('监测', 1.1036443148688042)('时', 1.0753424617980143)('发', 1.0000000000000004)
Article  106  : ('警方', 1.0000000000000004)('7', 1.0000000000000004)('日本', 1.0000000000000002)('高', 1.0000000000000002)
Article  107  : ('人', 1.1228747078420271)('费用', 1.0489025115477797)('个', 1.0393646200373197)('工', 1.030320334152179)
Article  108  : ('皮诺切特', 1.000000000000001)('引渡', 1.0000000000000009)('理', 1.0000000000000004)('次', 1.0000000000000002)
Article  109  : ('2', 1.093462963707291)('席', 1.075193395206647)('1', 1.0741289518629613)('选', 1.000000000000002)
Article  110  : ('9', 1.9815804013531202)('大', 1.2419473922902484)('会', 1.1614402705324822)('国', 1.0148076227444347)
Article  111  : ('首钢', 1.0000000000000009)('篮球', 1.0000000000000007)('兴', 1.0000000000000004)('建', 1.0000000000000002)
Article  112  : ('1', 1.7518159641776296)('代表队', 1.0988271381602779)('城', 1.0000000000000002)('港', 1.0000000000000002)
Article  113  : ('连', 1.3010416666666664)('的', 1.0307807814652419)('上', 1.0000000000000007)('点球', 1.0000000000000004)
Article  114  : ('斯', 1.1645738785190407)('手', 1.1633772971212355)('妹', 1.098299319727891)('吉', 1.0605848356008651)
Article  115  : ('海', 1.2300276097098706)('1', 1.1563085286532881)('州', 1.0000000000000002)('时', 1.0000000000000002)
Article  116  : ('大', 1.0000000000000004)('贵', 1.0000000000000004)('平', 1.0000000000000002)('作品展', 1.0000000000000002)
Article  117  : ('安', 1.051363032197469)('公司', 1.0248784570345957)('为', 1.0000000000000004)('新', 1.0000000000000002)
Article  118  : ('消防', 1.0733975551818773)('群众', 1.0000000000000004)('公安部', 1.0000000000000004)('国', 1.0000000000000002)
Article  119  : ('优', 1.1224099343075342)('所', 1.0931525081396105)('以', 1.0896312510292037)('不', 1.047595942788367)
Article  120  : ('工', 1.1368667384579838)('大', 1.0000000000000009)('为', 1.0000000000000004)('科技型', 1.0000000000000004)
Article  121  : ('一', 1.0163114751993092)('村民', 1.0000000000000007)('种植', 1.0000000000000007)('新', 1.0000000000000004)
Article  122  : ('大', 1.214218054021284)('竖', 1.2069673328473913)('+', 1.151124648639763)('岗', 1.1360034772225864)
Article  123  : ('科普设施', 1.0000000000000016)('南', 1.0000000000000002)('将', 1.0000000000000002)('集', 1.0000000000000002)
Article  124  : ('多', 1.1161426183127572)('性', 1.0853838945674028)('突破', 1.0000000000000002)('新华社武汉11月', 1.0000000000000002)
Article  125  : ('4', 1.2340067262811687)('2', 1.098299319727891)('最', 1.0000000000000004)('墨西哥', 1.0000000000000002)
Article  126  : ('国', 1.1027633988138188)('和', 1.0000000000000007)('智利', 1.0000000000000004)('将', 1.0000000000000002)
Article  127  : ('加', 1.259182510742006)('是', 1.0000000000000004)('总', 1.0000000000000002)('重申', 1.0000000000000002)
Article  128  : ('和', 1.0942357256498318)('国', 1.0434552073440948)('维', 1.0000000000000002)('同', 1.0000000000000002)
Article  129  : ('国', 1.098883705860254)('议', 1.0382147182848145)('瑞典', 1.0000000000000004)('新华社斯德哥尔摩11月', 1.0000000000000002)
Article  130  : ('成', 1.0000000000000007)('欧洲', 1.0000000000000002)('新华社布鲁塞尔11月', 1.0000000000000002)('日', 1.0000000000000002)
